Fecha,Mes,Maquina,Pacas producidas,Horas trabajadas,Tiempo de Paro,Turno INICIO,Turno FINAL
2022-03-24 00:00:00.000,"marzo","Vinilos_2",158,8,0.25,,
2022-03-17 00:00:00.000,"marzo","Vinilos_3",60,8,0.25,,
2022-03-14 00:00:00.000,"marzo","Vinilos_3",49,8,0.25,,
2022-03-11 00:00:00.000,"marzo","Vinilos_4",60,8,0.25,,
2022-03-10 00:00:00.000,"marzo","Vinilos_3",48,8,0.25,,
2022-03-08 00:00:00.000,"marzo","Vinilos_3",47,8,0.25,,
2022-03-08 00:00:00.000,"marzo","Vinilos_4",59,8,0.25,,
2022-03-07 00:00:00.000,"marzo","Vinilos_3",45,8,0.25,,
2022-03-07 00:00:00.000,"marzo","Vinilos_3",59,8,0.25,,
2022-03-07 00:00:00.000,"marzo","Vinilos_4",59,8,0.25,,
2022-03-03 00:00:00.000,"marzo","Vinilos_3",72,8,0.25,,
2022-03-01 00:00:00.000,"marzo","Vinilos_3",81,8,0.25,,
2022-01-28 00:00:00.000,"enero","Vinilos_3",59,8,0.25,,
2022-01-28 00:00:00.000,"enero","Vinilos_4",81,8,0.25,,
2022-01-28 00:00:00.000,"enero","Vinilos_4",76,8,0.25,,
2022-01-27 00:00:00.000,"enero","Vinilos_3",24,8,0.25,,
2022-01-27 00:00:00.000,"enero","Vinilos_4",76,8,0.25,,
2022-01-26 00:00:00.000,"enero","Vinilos_4",81,8,0.25,,
2022-01-26 00:00:00.000,"enero","Vinilos_4",82,8,0.25,,
2022-01-25 00:00:00.000,"enero","Vinilos_4",84,8,0.25,,
2022-01-24 00:00:00.000,"enero","Vinilos_4",74,8,0.25,,
2022-01-15 00:00:00.000,"enero","Vinilos_4",74,8,0.25,,
2022-01-14 00:00:00.000,"enero","Vinilos_4",82,8,0.25,,
2022-01-13 00:00:00.000,"enero","Vinilos_4",75,8,0.25,,
2022-01-12 00:00:00.000,"enero","Vinilos_4",63,8,0.25,,
2023-11-03 00:00:00.000,"noviembre","Vinilos_2",342,8,1.6333333333333335,,
2023-11-02 00:00:00.000,"noviembre","Vinilos_2",295,8,2.8833333333333333,,
2023-11-01 00:00:00.000,"noviembre","Vinilos_2",266,8,1.7166666666666666,,
2023-10-21 00:00:00.000,"octubre","Vinilos_2",192,8,2.2333333333333334,,
2023-10-20 00:00:00.000,"octubre","Vinilos_2",144,8,4.4666666666666659,,
2023-10-19 00:00:00.000,"octubre","Vinilos_2",44,8,2.6333333333333333,,
2023-10-18 00:00:00.000,"octubre","Vinilos_2",74,8,1.6333333333333335,,
2023-10-17 00:00:00.000,"octubre","Vinilos_2",73,8,3.6333333333333333,,
2023-10-14 00:00:00.000,"octubre","Vinilos_2",78,8,1.6500000000000001,,
2023-10-14 00:00:00.000,"octubre","Vinilos_2",48,8,3.4833333333333334,,
2023-10-13 00:00:00.000,"octubre","Vinilos_2",66,8,2.2166666666666663,,
2023-10-12 00:00:00.000,"octubre","Vinilos_2",57,8,0.63333333333333341,,
2023-10-12 00:00:00.000,"octubre","Vinilos_2",84,8,1.3833333333333335,,
2023-10-11 00:00:00.000,"octubre","Vinilos_2",42,8,3.6333333333333333,,
2023-10-10 00:00:00.000,"octubre","Vinilos_2",289,8,2.8666666666666667,,
2023-10-09 00:00:00.000,"octubre","Vinilos_2",300,8,2.4833333333333334,,
2023-10-07 00:00:00.000,"octubre","Vinilos_2",240,8,3.7333333333333334,,
2023-10-06 00:00:00.000,"octubre","Vinilos_2",282,8,1.55,,
2023-10-06 00:00:00.000,"octubre","Vinilos_2",147,8,3.3000000000000003,,
2023-10-06 00:00:00.000,"octubre","Vinilos_2",282,8,2.9833333333333334,,
2023-10-05 00:00:00.000,"octubre","Vinilos_2",198,8,4.1499999999999995,,
2023-10-05 00:00:00.000,"octubre","Vinilos_2",147,8,5.3833333333333329,,
2023-10-04 00:00:00.000,"octubre","Vinilos_2",129,8,1.55,,
2023-10-04 00:00:00.000,"octubre","Vinilos_2",186,8,3.1333333333333333,,
2023-10-02 00:00:00.000,"octubre","Vinilos_2",227,8,0.63333333333333341,,
2023-10-02 00:00:00.000,"octubre","Vinilos_2",240,8,1.1333333333333335,,
2023-10-02 00:00:00.000,"octubre","Vinilos_2",227,8,2.1333333333333333,,
2023-09-25 00:00:00.000,"septiembre","Vinilos_2",138,8,4.3,,
